field,blank,dash,zero_assumed,unresolved,negative,fractional
passenger_car,0,0,0,0,0,1
pickup_van,0,0,0,0,0,3
large_bus,0,0,0,0,0,2
small_bus,0,0,0,0,0,0
truck,0,0,0,0,0,0
tuk_tuk,0,0,0,0,0,0
