source_excel_row,id,survey_date,Date,month,year,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,Unnamed: 16,Unnamed: 17,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible
12,11,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท24,สุขุมวิท,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),12299,4,0,0,0,1,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท24,สุขุมวิท,3,3,2017,2017-03-03,2017-03-03,3,2017,1,09:00,16:00,7.0,09:00-16:00,12299.0,False,4.0,False,0.0,False,0,False,0,False,1,False,False,False,False,False,False,False,False,True
13,12,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท24,สุขุมวิท,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),5309,1840,120,12,46,28,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท24,สุขุมวิท,3,3,2017,2017-03-03,2017-03-03,3,2017,1,16:00,19:00,3.0,16:00-19:00,5309.0,False,1840.0,False,120.0,False,12,False,46,False,28,False,False,False,False,False,False,False,False,True
14,13,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท 26,ซ.สุขุมวิท 26,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),567,190,1,0,0,29,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท 26,ซ.สุขุมวิท 26,3,3,2017,2017-03-03,2017-03-03,3,2017,1,07:00,09:00,2.0,07:00-09:00,567.0,False,190.0,False,1.0,False,0,False,0,False,29,False,False,False,False,False,False,False,False,True
15,14,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท 26,ซ.สุขุมวิท 26,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),2074,725,0,0,36,97,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท 26,ซ.สุขุมวิท 26,3,3,2017,2017-03-03,2017-03-03,3,2017,1,09:00,16:00,7.0,09:00-16:00,2074.0,False,725.0,False,0.0,False,0,False,36,False,97,False,False,False,False,False,False,False,False,True
16,15,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท 26,ซ.สุขุมวิท 26,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),1024,354,0,0,15,25,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท 26,ซ.สุขุมวิท 26,3,3,2017,2017-03-03,2017-03-03,3,2017,1,16:00,19:00,3.0,16:00-19:00,1024.0,False,354.0,False,0.0,False,0,False,15,False,25,False,False,False,False,False,False,False,False,True
17,16,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท 26,สุขุมวิท,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),4064,1082,143,1,21,38,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท 26,สุขุมวิท,3,3,2017,2017-03-03,2017-03-03,3,2017,1,07:00,09:00,2.0,07:00-09:00,4064.0,False,1082.0,False,143.0,False,1,False,21,False,38,False,False,False,False,False,False,False,False,True
18,17,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท 26,สุขุมวิท,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),14538,4356,378,16,269,271,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท 26,สุขุมวิท,3,3,2017,2017-03-03,2017-03-03,3,2017,1,09:00,16:00,7.0,09:00-16:00,14538.0,False,4356.0,False,378.0,False,16,False,269,False,271,False,False,False,False,False,False,False,False,True
19,18,3/3/2017,3,3,2017,ก่อนโควิด,สุขุมวิท 26,สุขุมวิท,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),6346,1809,207,11,56,119,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,สุขุมวิท 26,สุขุมวิท,3,3,2017,2017-03-03,2017-03-03,3,2017,1,16:00,19:00,3.0,16:00-19:00,6346.0,False,1809.0,False,207.0,False,11,False,56,False,119,False,False,False,False,False,False,False,False,True
20,19,6/3/2017,6,3,2017,ก่อนโควิด,วัดสน,ซ.สุขสวัสดิ์ 35,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),91,44,0,0,0,0,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,วัดสน,ซ.สุขสวัสดิ์ 35,6,3,2017,2017-03-06,2017-03-06,3,2017,1,07:00,09:00,2.0,07:00-09:00,91.0,False,44.0,False,0.0,False,0,False,0,False,0,False,False,False,False,False,False,False,False,True
21,20,6/3/2017,6,3,2017,ก่อนโควิด,วัดสน,ซ.สุขสวัสดิ์ 35,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),301,107,0,0,3,2,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,วัดสน,ซ.สุขสวัสดิ์ 35,6,3,2017,2017-03-06,2017-03-06,3,2017,1,09:00,16:00,7.0,09:00-16:00,301.0,False,107.0,False,0.0,False,0,False,3,False,2,False,False,False,False,False,False,False,False,True
