source_excel_row,id,survey_date,Date,month,year,Lockdown,Not Lockdown,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible
1781,1780,15/3/2018,15,3,2018,0,1,ก่อนโควิด,ใกล้คลองบางจาก,พุทธมณฑลสาย2,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),2564.0,1093.0,130.0,0,108,37,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ใกล้คลองบางจาก,พุทธมณฑลสาย2,15,3,2018,2018-03-15,2018-03-15,3,2018,1,07:00,09:00,2.0,07:00-09:00,2564.0,False,1093.0,False,130.0,False,0,False,108,False,37,False,False,False,False,False,False,True,True,False
1784,1783,15/3/2018,15,3,2018,0,1,ก่อนโควิด,ใกล้คลองบางจาก,พุทธมณฑลสาย2,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),1615.0,845.0,30.0,0,153,16,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,ใกล้คลองบางจาก,พุทธมณฑลสาย2,15,3,2018,2018-03-15,2018-03-15,3,2018,1,07:00,09:00,2.0,07:00-09:00,1615.0,False,845.0,False,30.0,False,0,False,153,False,16,False,False,False,False,False,False,True,True,False
1895,1894,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),1738.0,718.0,0.0,0,15,2,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,18,4,2018,2018-04-18,2018-04-18,4,2018,2,07:00,09:00,2.0,07:00-09:00,1738.0,False,718.0,False,0.0,False,0,False,15,False,2,False,False,False,False,False,False,True,True,False
1896,1895,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),6081.0,3136.0,17.0,0,261,2,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,18,4,2018,2018-04-18,2018-04-18,4,2018,2,09:00,16:00,7.0,09:00-16:00,6081.0,False,3136.0,False,17.0,False,0,False,261,False,2,False,False,False,False,False,False,True,True,False
1897,1896,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),2976.0,1278.0,25.0,0,29,0,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,18,4,2018,2018-04-18,2018-04-18,4,2018,2,16:00,19:00,3.0,16:00-19:00,2976.0,False,1278.0,False,25.0,False,0,False,29,False,0,False,False,False,False,False,False,True,True,False
1898,1897,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),5653.0,2027.0,60.0,0,79,6,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,18,4,2018,2018-04-18,2018-04-18,4,2018,2,07:00,09:00,2.0,07:00-09:00,5653.0,False,2027.0,False,60.0,False,0,False,79,False,6,False,False,False,False,False,False,True,True,False
1899,1898,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),17949.0,6985.0,270.0,0,529,19,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,18,4,2018,2018-04-18,2018-04-18,4,2018,2,09:00,16:00,7.0,09:00-16:00,17949.0,False,6985.0,False,270.0,False,0,False,529,False,19,False,False,False,False,False,False,True,True,False
1900,1899,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,เร่งด่วนเย็น,เร่งด่วนเย็น ( 16:00-19:00 ),9704.0,3174.0,87.0,0,61,5,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,รามคำแหง,18,4,2018,2018-04-18,2018-04-18,4,2018,2,16:00,19:00,3.0,16:00-19:00,9704.0,False,3174.0,False,87.0,False,0,False,61,False,5,False,False,False,False,False,False,True,True,False
1901,1900,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,เร่งด่วนเช้า,เร่งด่วนเช้า ( 07.00-09.00 ),2880.0,1019.0,2.0,0,38,0,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,18,4,2018,2018-04-18,2018-04-18,4,2018,2,07:00,09:00,2.0,07:00-09:00,2880.0,False,1019.0,False,2.0,False,0,False,38,False,0,False,False,False,False,False,False,True,True,False
1902,1901,18/4/2018,18,4,2018,0,1,ก่อนโควิด,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,นอกเร่งด่วน,นอกเร่งด่วน ( 09.00-16.00 ),6410.0,3349.0,17.0,0,240,2,9f3bbdb744a3216ef2c0476a51aef87603fff0de24d133ae4f0debee1760259c,traffic_data,รามคำแหง-วงแหวนตะวันออก,วงแหวนตะวันออก,18,4,2018,2018-04-18,2018-04-18,4,2018,2,09:00,16:00,7.0,09:00-16:00,6410.0,False,3349.0,False,17.0,False,0,False,240,False,2,False,False,False,False,False,False,True,True,False
