source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
6206,โควิด,โพธิ์แก้ว,ทางเข้าวัดบางเตย,2020,12,23,2020-12-23,07:00-09:00,False
6207,โควิด,โพธิ์แก้ว,นวมินทร์,2020,12,23,2020-12-23,16:00-19:00,False
6208,โควิด,โพธิ์แก้ว,โพธิ์แก้ว,2020,12,23,2020-12-23,16:00-19:00,False
6209,โควิด,โพธิ์แก้ว,ทางเข้าวัดบางเตย,2020,12,23,2020-12-23,16:00-19:00,False
6210,โควิด,โพธิ์แก้ว,นวมินทร์,2020,12,23,2020-12-23,09:00-16:00,False
6211,โควิด,โพธิ์แก้ว,โพธิ์แก้ว,2020,12,23,2020-12-23,09:00-16:00,False
6212,โควิด,โพธิ์แก้ว,ทางเข้าวัดบางเตย,2020,12,23,2020-12-23,09:00-16:00,False
6213,โควิด,ทองหล่อ,สุขุมวิท,2020,12,24,2020-12-24,07:00-09:00,False
6215,โควิด,ทองหล่อ,สุขุมวิท,2020,12,24,2020-12-24,16:00-19:00,False
6217,โควิด,ทองหล่อ,สุขุมวิท,2020,12,24,2020-12-24,09:00-16:00,False
6228,โควิด,วังแดง,ราชสีมา,2020,12,28,2020-12-28,07:00-09:00,False
6229,โควิด,วังแดง,พิษณุโลก,2020,12,28,2020-12-28,07:00-09:00,False
6234,โควิด,ศรีย่าน,สามเสน,2020,12,29,2020-12-29,07:00-09:00,False
6235,โควิด,ศรีย่าน,นครไชยศรี,2020,12,29,2020-12-29,07:00-09:00,False
6236,โควิด,ศรีย่าน,สามเสน,2020,12,29,2020-12-29,16:00-19:00,False
6237,โควิด,ศรีย่าน,นครไชยศรี,2020,12,29,2020-12-29,16:00-19:00,False
6238,โควิด,ศรีย่าน,สามเสน,2020,12,29,2020-12-29,09:00-16:00,False
6239,โควิด,ศรีย่าน,นครไชยศรี,2020,12,29,2020-12-29,09:00-16:00,False
6241,โควิด,พระโขนง,สุขุมวิท,2020,12,30,2020-12-30,07:00-09:00,False
6242,โควิด,สุขุมวิท-พระรามที่4,พระรามที่4,2020,12,30,2020-12-30,07:00-09:00,False
6243,โควิด,สุขุมวิท-พระรามที่4,สุขุมวิท,2020,12,30,2020-12-30,07:00-09:00,False
6245,โควิด,พระโขนง,สุขุมวิท,2020,12,30,2020-12-30,16:00-19:00,False
6246,โควิด,สุขุมวิท-พระรามที่4,พระรามที่4,2020,12,30,2020-12-30,16:00-19:00,False
6247,โควิด,สุขุมวิท-พระรามที่4,สุขุมวิท,2020,12,30,2020-12-30,16:00-19:00,False
6249,โควิด,พระโขนง,สุขุมวิท,2020,12,30,2020-12-30,09:00-16:00,False
6250,โควิด,สุขุมวิท-พระรามที่4,พระรามที่4,2020,12,30,2020-12-30,09:00-16:00,False
6251,โควิด,สุขุมวิท-พระรามที่4,สุขุมวิท,2020,12,30,2020-12-30,09:00-16:00,False
6258,โควิด,พิบูลสงคราม,ประชาราษฎร์สาย1,2021,1,5,2021-01-05,07:00-09:00,False
6259,โควิด,พิบูลสงคราม,พิบูลสงคราม,2021,1,5,2021-01-05,07:00-09:00,False
6271,โควิด,เพชรพระราม,บรรทัดทอง,2021,1,6,2021-01-06,09:00-16:00,False
6272,โควิด,เพชรพระราม,เพชรบุรี,2021,1,6,2021-01-06,09:00-16:00,False
6279,โควิด,สะพานแดง,พระรามที่5,2021,1,8,2021-01-08,07:00-09:00,False
6280,โควิด,สะพานแดง,เตชะวณิช,2021,1,8,2021-01-08,07:00-09:00,False
6281,โควิด,สะพานแดง,ทหาร,2021,1,8,2021-01-08,07:00-09:00,False
6282,โควิด,สะพานแดง,ประดิพัทธ์,2021,1,8,2021-01-08,07:00-09:00,False
6283,โควิด,สะพานแดง,พระรามที่5,2021,1,8,2021-01-08,16:00-19:00,False
6284,โควิด,สะพานแดง,เตชะวณิช,2021,1,8,2021-01-08,16:00-19:00,False
6285,โควิด,สะพานแดง,ทหาร,2021,1,8,2021-01-08,16:00-19:00,False
6286,โควิด,สะพานแดง,ประดิพัทธ์,2021,1,8,2021-01-08,16:00-19:00,False
6287,โควิด,สะพานแดง,พระรามที่5,2021,1,8,2021-01-08,09:00-16:00,False
6288,โควิด,สะพานแดง,เตชะวณิช,2021,1,8,2021-01-08,09:00-16:00,False
6289,โควิด,สะพานแดง,ทหาร,2021,1,8,2021-01-08,09:00-16:00,False
6290,โควิด,สะพานแดง,ประดิพัทธ์,2021,1,8,2021-01-08,09:00-16:00,False
6303,โควิด,สุทธิสาร-วิภาวดีรังสิต,วิภาวดีรังสิต,2021,1,18,2021-01-18,07:00-09:00,False
6304,โควิด,สุทธิสาร-วิภาวดีรังสิต,สุทธิสาร,2021,1,18,2021-01-18,07:00-09:00,False
6309,โควิด,เกษะโกมล,พระรามที่5,2021,1,19,2021-01-19,07:00-09:00,False
6310,โควิด,เกษะโกมล,อำนวยสงคราม,2021,1,19,2021-01-19,07:00-09:00,False
6311,โควิด,เกษะโกมล,เศรษฐศิริ,2021,1,19,2021-01-19,07:00-09:00,False
6312,โควิด,เกษะโกมล,พระรามที่5,2021,1,19,2021-01-19,16:00-19:00,False
6313,โควิด,เกษะโกมล,อำนวยสงคราม,2021,1,19,2021-01-19,16:00-19:00,False
6314,โควิด,เกษะโกมล,เศรษฐศิริ,2021,1,19,2021-01-19,16:00-19:00,False
6315,โควิด,เกษะโกมล,พระรามที่5,2021,1,19,2021-01-19,09:00-16:00,False
6316,โควิด,เกษะโกมล,อำนวยสงคราม,2021,1,19,2021-01-19,09:00-16:00,False
6317,โควิด,เกษะโกมล,เศรษฐศิริ,2021,1,19,2021-01-19,09:00-16:00,False
6318,โควิด,สุทธิสาร,รัชดาภิเษก,2021,1,20,2021-01-20,07:00-09:00,False
6319,โควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2021,1,20,2021-01-20,07:00-09:00,False
6320,โควิด,สุทธิสาร,รัชดาภิเษก,2021,1,20,2021-01-20,16:00-19:00,False
6321,โควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2021,1,20,2021-01-20,16:00-19:00,False
6322,โควิด,สุทธิสาร,รัชดาภิเษก,2021,1,20,2021-01-20,09:00-16:00,False
6323,โควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2021,1,20,2021-01-20,09:00-16:00,False
6324,โควิด,ปทุมวัน,พญาไท,2021,1,21,2021-01-21,07:00-09:00,False
6325,โควิด,ปทุมวัน,พระรามที่1,2021,1,21,2021-01-21,07:00-09:00,False
6345,โควิด,คลองสาน,เจริญนคร,2021,1,25,2021-01-25,07:00-09:00,False
6346,โควิด,คลองสาน,สมเด็จเจ้าพระยา,2021,1,25,2021-01-25,07:00-09:00,False
6347,โควิด,คลองสาน,ลาดหญ้า,2021,1,25,2021-01-25,07:00-09:00,False
6348,โควิด,คลองสาน,เจริญนคร,2021,1,25,2021-01-25,16:00-19:00,False
6349,โควิด,คลองสาน,สมเด็จเจ้าพระยา,2021,1,25,2021-01-25,16:00-19:00,False
6350,โควิด,คลองสาน,ลาดหญ้า,2021,1,25,2021-01-25,16:00-19:00,False
6351,โควิด,คลองสาน,เจริญนคร,2021,1,25,2021-01-25,09:00-16:00,False
6352,โควิด,คลองสาน,สมเด็จเจ้าพระยา,2021,1,25,2021-01-25,09:00-16:00,False
6353,โควิด,คลองสาน,ลาดหญ้า,2021,1,25,2021-01-25,09:00-16:00,False
6384,โควิด,หัวลำโพง,พระรามที่4,2021,1,29,2021-01-29,07:00-09:00,False
6385,โควิด,หัวลำโพง,มหาพฤฒาราม,2021,1,29,2021-01-29,07:00-09:00,False
6390,โควิด,วิทยุ-เพชร,วิทยุ-ทางขึ้นลงทางด่วน,2021,2,1,2021-02-01,07:00-09:00,False
6392,โควิด,วิทยุ-เพชร,เพชรบุรี,2021,2,1,2021-02-01,07:00-09:00,False
6399,โควิด,บางกะปิ,พ่วงศิริ,2021,2,2,2021-02-02,07:00-09:00,False
6401,โควิด,บางกะปิ,ลาดพร้าว,2021,2,2,2021-02-02,07:00-09:00,False
6402,โควิด,บางกะปิ,เสรีไทย,2021,2,2,2021-02-02,07:00-09:00,False
6412,โควิด,ลาดบัวขาว,รามคำแหง,2021,2,3,2021-02-03,07:00-09:00,False
6418,โควิด,หมู่บ้านเศรษฐกิจ,เพชรเกษม,2021,2,4,2021-02-04,07:00-09:00,False
6419,โควิด,พุทธมณฑลสาย3,พุทธมณฑลสาย3,2021,2,4,2021-02-04,07:00-09:00,False
6420,โควิด,พุทธมณฑลสาย3,เพชรเกษม,2021,2,4,2021-02-04,07:00-09:00,False
6422,โควิด,หมู่บ้านเศรษฐกิจ,เพชรเกษม,2021,2,4,2021-02-04,16:00-19:00,False
6426,โควิด,หมู่บ้านเศรษฐกิจ,เพชรเกษม,2021,2,4,2021-02-04,09:00-16:00,False
6430,โควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,2021,2,5,2021-02-05,07:00-09:00,False
6433,โควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,2021,2,5,2021-02-05,16:00-19:00,False
