design,vehicle,Before_share,After_share,change_pp,units
main,passenger_car,71.92166742282612,73.51274912114094,1.5910816983148235,621
main,pickup_van,21.625268293804595,21.03168238611265,-0.5935859076919456,621
main,large_bus,2.208559539246707,1.8886079083098204,-0.3199516309368866,621
main,small_bus,0.3971053249520721,0.2519671740550974,-0.1451381508969747,621
main,truck,0.9562419859855142,1.2277002480089,0.2714582620233858,621
main,tuk_tuk,2.891157433184996,2.087293162372582,-0.8038642708124137,621
original_common_units,passenger_car,73.1381661210969,74.15529720683992,1.0171310857430171,440
original_common_units,pickup_van,21.10388340569017,20.649576634258388,-0.4543067714317779,440
original_common_units,large_bus,2.1916559968824165,1.992526392128567,-0.1991296047538495,440
original_common_units,small_bus,0.4808166125342528,0.2909810416278684,-0.1898355709063844,440
original_common_units,truck,0.8583544057922051,1.155652996385627,0.2972985905934219,440
original_common_units,tuk_tuk,2.227123458004058,1.7559657287596369,-0.4711577292444211,440
complete_numeric_common_units,passenger_car,73.1381661210969,74.23791124804363,1.099745126946729,440
complete_numeric_common_units,pickup_van,21.10388340569017,20.587213804236075,-0.5166696014540904,440
complete_numeric_common_units,large_bus,2.1916559968824165,2.0009115370221777,-0.1907444598602388,440
complete_numeric_common_units,small_bus,0.4808166125342528,0.2914877747249303,-0.1893288378093225,440
complete_numeric_common_units,truck,0.8583544057922051,1.151441851630103,0.2930874458378979,440
complete_numeric_common_units,tuk_tuk,2.227123458004058,1.7310337843430816,-0.4960896736609763,440
