design,rows,units,During,After
main_zero_assumption,2612,623,91.58761857214178,90.3570746610655
main_restricted_to_complete_units,1913,440,92.08569400754136,91.16754363521922
complete_numeric_only,1858,440,91.83053062559064,91.10116968575528
