covid_period,survey_date_parsed,survey_weekday,report_date,vehicles_per_hour,has_assumed_zero,source_excel_row
ก่อนโควิด,2017-06-19,Monday,2017-06-19,2130.5,False,509
ก่อนโควิด,2018-08-21,Tuesday,2018-08-21,1381.5,False,2480
โควิด,2021-05-20,Thursday,2021-05-20,918.5,False,6927
โควิด,2021-10-06,Wednesday,2021-10-06,1863.5,True,7863
หลังโควิด,2023-07-25,Tuesday,2023-07-25,1061.5,False,11550
หลังโควิด,2024-01-18,Thursday,2024-01-18,1773.5,False,12528
หลังโควิด,2026-05-20,Wednesday,2026-05-20,1049.0,False,16950
