covid_period,survey_date_parsed,survey_weekday,report_date,vehicles_per_hour,has_assumed_zero,source_excel_row
ก่อนโควิด,2017-06-19,Monday,2017-06-19,2962.0,False,512
ก่อนโควิด,2018-08-21,Tuesday,2018-08-21,3895.5,False,2483
โควิด,2021-05-20,Thursday,2021-05-20,2121.5,False,6928
โควิด,2021-10-06,Wednesday,2021-10-06,2885.0,False,7864
หลังโควิด,2023-07-25,Tuesday,2023-07-25,2417.0,False,11553
หลังโควิด,2024-01-18,Thursday,2024-01-18,2455.0,False,12531
หลังโควิด,2026-05-20,Wednesday,2026-05-20,2450.0,False,16953
