vehicle_type,share_change_pp
tuk_tuk,-0.8038642708124137
pickup_van,-0.5935859076919421
large_bus,-0.3199516309368864
small_bus,-0.14513815089697474
truck,0.27145826202338563
passenger_car,1.591081698314838
