intersection_key,road_key,time_key,survey_month,Before,During,After
บางรัก,สีลม,07:00-09:00,6,100.0,61.390532544378694,110.65088757396451
บางรัก,เจริญกรุง,07:00-09:00,6,100.0,61.94809571958208,103.57263228850691
พัฒนาการ,พัฒนาการ,07:00-09:00,4,100.0,108.58962410686547,115.17552034793414
พัฒนาการ,ศรีนครินทร์,07:00-09:00,4,100.0,109.26247827166627,125.14278619319592
รามคำแหง,พระราม 9,07:00-09:00,7,100.0,77.4970699309806,87.75882276338065
รามคำแหง,พระราม 9,09:00-16:00,7,100.0,89.09170444603515,108.2557862085421
รามคำแหง,พระราม 9,16:00-19:00,7,100.0,91.52446230205624,114.0392342235878
รามคำแหง,รามคำแหง,07:00-09:00,7,100.0,114.4480731548008,91.75702155453952
รามคำแหง,รามคำแหง,09:00-16:00,7,100.0,85.4908145432846,87.56233749627042
รามคำแหง,รามคำแหง,16:00-19:00,7,100.0,81.99489495385824,105.14431572746908
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,12,100.0,62.4866785079929,70.8348134991119
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,12,100.0,98.21768707482993,85.71428571428571
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,12,100.0,92.63174628407917,96.13703203242986
อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,100.0,38.33434650455927,56.06079027355623
อุรุพงษ์,เพชรบุรี,07:00-09:00,5,100.0,50.165542611894544,53.26793378295525
