intersection_key,road_key,During,After
การเรือน,ราชวิถี,3.7750995509616203,0.40646445818859434
การเรือน,ราชสีมา,-71.61765038951654,-15.30960376491035
กำแพงเพชร,กำแพงเพชร,-7.292146703867743,-37.77515973388505
กำแพงเพชร,พหลโยธิน,-11.612876763436063,-0.8973873939341388
ขัตติยานี,พิชัย,29.767818541385893,11.350775403858307
ขัตติยานี,สุโขทัย,-19.434429763998494,28.60152037093563
คลองตัน,พัฒนาการ,-79.73588120028111,-369.15855131643724
คลองสาน,ลาดหญ้า,35.064630568821585,5.319984815793802
คลองสาน,สมเด็จเจ้าพระยา,21.400197372833446,-33.82055360205422
คลองสาน,เจริญนคร,-10.550313537889068,-42.07681280331994
คอกวัว,ตะนาว,18.526772655045974,-9.903231394757782
คอกวัว,ราชดำเนินกลาง,18.956116598515067,38.477242662235014
จอมทอง,จอมทอง,4.109092623490525,7.204027066592516
จอมทอง,วุฒากาศ,-1.8159816364210997,44.923263305555096
จักรพรรดิพงษ์,จักรพรรดิพงษ์,52.294355464259326,-210.19989480455573
จักรพรรดิพงษ์,นครสวรรค์,32.37965478017799,-283.1261869888225
จันทน์ - นราธิวาส,จันทน์,-11.078649880318721,3.271483852728167
ดาวคะนอง,จอมทอง,-10.33144451832004,17.667867103023
ดาวคะนอง,สมเด็จพระเจ้าตากสิน,13.988834489975119,1.6274174257988676
ทองหล่อ,สุขุมวิท,14.16129252574784,33.35647497000221
ท่าดินแดง,ท่าดินแดง,-10.109786773867441,24.222012946514397
นางเลิ้ง,พิษณุโลก,-7.939131467807115,9.821643093975752
บรมราชชนนี,บรมราชชนนี,-22.25146623025921,-7.526993666107941
บางกระบือ,สามเสน,30.88494052030798,-282.31260453109263
บางกระบือ,อำนวยสงคราม,18.791338442977775,-36.94734227521113
บางกระบือ,เขียวไข่กา,-30.70293949070662,106.58417260296406
บางบอน 5,บางบอน 5,-19.404688201803893,-4.130275970109906
บางบอน 5,เอกชัย,26.723167920725444,34.17542462856744
บางยี่เรือ,อินทรพิทักษ์,-65.29843720579929,-14.84331000917318
บางยี่เรือ,เทอดไท,69.66004405754735,-48.40804297333035
บางยี่เรือ,เพชรเกษม,81.65372695318067,92.36537962524497
บางรัก,สีลม,12.952229103830433,23.9512582598485
บางรัก,เจริญกรุง,9.463841976264519,31.0648620976841
บางลำพู,สามเสน,-2.5703007966047835,18.484581412231428
บางแค,บางแค,30.86436459012012,-47.01039108571812
บางแค,เพชรเกษม,-23.956237791189253,-14.843058171923559
ประชาอุทิศ,ประชาอุทิศ,-8.82359505817594,-3.689624192714433
ประชาอุทิศ,สุขสวัสดิ์,-21.666202593896344,-10.76761627611522
ประชาอุทิศ,เทียมร่วมมิตร,-35.41264072918662,-20.23906884364871
ประตูน้ำ,ราชดำริ,18.49029317008099,31.846115846827423
ประตูน้ำ,ราชปรารภ,-18.756388851029016,24.72804790786425
ประตูน้ำ,เพชรบุรี,7.649712853774915,34.29243807430048
ปากทางลาดพร้าว,พหลโยธิน,19.57964924783252,20.436045764215827
ปากทางลาดพร้าว,ลาดพร้าว,23.851009522062768,-22.28023973715773
ป้อมมหากาฬ,มหาไชย,-14.989451918912508,-35.43980608295961
ผังเมือง,พระราม 9,28.801596459587046,10.99287543469461
ผังเมือง,วัฒนธรรม,-17.137099422955927,-18.036994271405817
พระรามที่ 4,รัชดาภิเษก,9.40525398013574,3.558464541574402
พระโขนง,สุขุมวิท,29.76923193965871,18.937251209593725
พุทธมณฑลสาย 2,พุทธมณฑลสาย 2,10.805151057689145,-6.501973926531534
พุทธมณฑลสาย 2,เพชรเกษม,2.390465847198712,-14.41488485652134
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี,-9.421055517801861,-2.1050941896125437
มิตรไมตรี - มิตรไมตรี 2,มิตรไมตรี 2,4.808625658945957,-36.61126293624837
