intersection_key,road_key,time_key,survey_month,covid_period,median,mean,size
บางรัก,สีลม,07:00-09:00,6,ก่อนโควิด,676.0,676.0,1
บางรัก,สีลม,07:00-09:00,6,หลังโควิด,748.0,748.0,1
บางรัก,สีลม,07:00-09:00,6,โควิด,415.0,415.0,1
บางรัก,เจริญกรุง,07:00-09:00,6,ก่อนโควิด,1483.5,1483.5,1
บางรัก,เจริญกรุง,07:00-09:00,6,หลังโควิด,1536.5,1536.5,1
บางรัก,เจริญกรุง,07:00-09:00,6,โควิด,919.0,919.0,1
พัฒนาการ,พัฒนาการ,07:00-09:00,4,ก่อนโควิด,3219.0,3219.0,2
พัฒนาการ,พัฒนาการ,07:00-09:00,4,หลังโควิด,3707.5,3707.5,1
พัฒนาการ,พัฒนาการ,07:00-09:00,4,โควิด,3495.5,3495.5,1
พัฒนาการ,ศรีนครินทร์,07:00-09:00,4,ก่อนโควิด,4027.0,4027.0,2
พัฒนาการ,ศรีนครินทร์,07:00-09:00,4,หลังโควิด,5039.5,5039.5,1
พัฒนาการ,ศรีนครินทร์,07:00-09:00,4,โควิด,4400.0,4400.0,1
รามคำแหง,พระราม 9,07:00-09:00,7,ก่อนโควิด,7679.0,7679.0,1
รามคำแหง,พระราม 9,07:00-09:00,7,หลังโควิด,6739.0,6739.0,1
รามคำแหง,พระราม 9,07:00-09:00,7,โควิด,5951.0,5951.0,1
รามคำแหง,พระราม 9,09:00-16:00,7,ก่อนโควิด,7184.571428571428,7184.571428571428,1
รามคำแหง,พระราม 9,09:00-16:00,7,หลังโควิด,7777.714285714285,7777.714285714285,1
รามคำแหง,พระราม 9,09:00-16:00,7,โควิด,6400.857142857143,6400.857142857143,1
รามคำแหง,พระราม 9,16:00-19:00,7,ก่อนโควิด,7051.666666666667,7051.666666666667,1
รามคำแหง,พระราม 9,16:00-19:00,7,หลังโควิด,8041.666666666667,8041.666666666667,1
รามคำแหง,พระราม 9,16:00-19:00,7,โควิด,6454.0,6454.0,1
รามคำแหง,รามคำแหง,07:00-09:00,7,ก่อนโควิด,3827.5,3827.5,1
รามคำแหง,รามคำแหง,07:00-09:00,7,หลังโควิด,3512.0,3512.0,1
รามคำแหง,รามคำแหง,07:00-09:00,7,โควิด,4380.5,4380.5,1
รามคำแหง,รามคำแหง,09:00-16:00,7,ก่อนโควิด,3351.5714285714284,3351.5714285714284,1
รามคำแหง,รามคำแหง,09:00-16:00,7,หลังโควิด,2934.714285714286,2934.714285714286,1
รามคำแหง,รามคำแหง,09:00-16:00,7,โควิด,2865.285714285714,2865.285714285714,1
รามคำแหง,รามคำแหง,16:00-19:00,7,ก่อนโควิด,3395.3333333333335,3395.3333333333335,1
รามคำแหง,รามคำแหง,16:00-19:00,7,หลังโควิด,3570.0,3570.0,1
รามคำแหง,รามคำแหง,16:00-19:00,7,โควิด,2784.0,2784.0,1
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,12,ก่อนโควิด,4222.5,4222.5,1
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,12,หลังโควิด,2991.0,2991.0,1
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,12,โควิด,2638.5,2638.5,1
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,12,ก่อนโควิด,3675.0,3675.0,1
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,12,หลังโควิด,3150.0,3150.0,1
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,12,โควิด,3609.5,3609.5,1
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,12,ก่อนโควิด,6290.5,6290.5,1
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,12,หลังโควิด,6047.5,6047.5,1
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,12,โควิด,5827.0,5827.0,1
อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,ก่อนโควิด,4112.5,4112.5,1
อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,หลังโควิด,2305.5,2305.5,1
อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,โควิด,1576.5,1576.5,1
อุรุพงษ์,เพชรบุรี,07:00-09:00,5,ก่อนโควิด,4077.5,4077.5,1
อุรุพงษ์,เพชรบุรี,07:00-09:00,5,หลังโควิด,2172.0,2172.0,1
อุรุพงษ์,เพชรบุรี,07:00-09:00,5,โควิด,2045.5,2045.5,1
