intersection_key,road_key,time_key,report_month,Before,2026 YTD,paired_index,unit_code
บางขุนนนท์,จรัญสนิทวงศ์,07:00-09:00,3,1967.0,2560.5,130.17285205897306,Y01
บางยี่เรือ,อินทรพิทักษ์,07:00-09:00,5,1489.5,717.5,48.17052702249077,Y02
บางยี่เรือ,เทอดไท,07:00-09:00,5,792.5,368.5,46.49842271293375,Y03
บางยี่เรือ,เพชรเกษม,07:00-09:00,5,1813.0,1131.0,62.38279095421952,Y04
อุรุพงษ์,พระรามที่ 6,07:00-09:00,5,4112.5,2305.5,56.06079027355623,Y05
อุรุพงษ์,เพชรบุรี,07:00-09:00,5,4077.5,2172.0,53.26793378295525,Y06
