covid_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk
ก่อนโควิด,71.92166742282612,21.625268293804595,2.208559539246707,0.3971053249520721,0.9562419859855145,2.8911574331849956
โควิด,72.6093484852666,21.408895724530506,2.2376928424406235,0.3755063485500767,1.1490593120264836,2.2194972871857144
หลังโควิด,73.51274912114096,21.031682386112653,1.8886079083098206,0.2519671740550974,1.2277002480089,2.087293162372582
