osm_id,latitude,longitude,osm_name,intersection_key,road_key,osm_connected_roads,accepted,review_rule,osm_url,access_date
61713461,13.7499708,100.5544539,แยกมิตรสัมพันธ์,มิตรสัมพันธ์,นิคมมักกะสัน,ซอยสุขุมวิท 3 / นิคมมักกะสัน / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/61713461,2026-09-14
61713461,13.7499708,100.5544539,แยกมิตรสัมพันธ์,มิตรสัมพันธ์,เพชรบุรี,ซอยสุขุมวิท 3 / นิคมมักกะสัน / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/61713461,2026-09-14
68163665,13.7735857,100.5191003,แยกราชวิถี,ราชวิถี,พระรามที่ 5,พระรามที่ 5 / ราชวิถี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/68163665,2026-09-14
68163665,13.7735857,100.5191003,แยกราชวิถี,ราชวิถี,ราชวิถี,พระรามที่ 5 / ราชวิถี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/68163665,2026-09-14
268267467,13.7761727,100.5283651,แยกสามเสน,สามเสน,นครไชยศรี,นครไชยศรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/268267467,2026-09-14
281145536,13.7698729,100.5864665,แยกประชาอุทิศ,ประชาอุทิศ,ประชาอุทิศ,ซอยรัชดานิเวศน์ / ประชาอุทิศ / เทียมร่วมมิตร,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/281145536,2026-09-14
281145536,13.7698729,100.5864665,แยกประชาอุทิศ,ประชาอุทิศ,เทียมร่วมมิตร,ซอยรัชดานิเวศน์ / ประชาอุทิศ / เทียมร่วมมิตร,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/281145536,2026-09-14
303606610,13.723617,100.57949,แยกทองหล่อ,ทองหล่อ,สุขุมวิท, / ซอยสุขุมวิท 55 / สุขุมวิท,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/303606610,2026-09-14
312063216,13.76836,100.5076045,แยกวังแดง,วังแดง,พิษณุโลก,นครราชสีมา / พิษณุโลก,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/312063216,2026-09-14
373456021,13.7853492,100.5117902,แยกศรีย่าน,ศรีย่าน,นครไชยศรี,นครไชยศรี / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456021,2026-09-14
373456021,13.7853492,100.5117902,แยกศรีย่าน,ศรีย่าน,สามเสน,นครไชยศรี / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456021,2026-09-14
373456028,13.7972807,100.5213412,แยกเกียกกาย,เกียกกาย,ทหาร,ทหาร / ประชาราษฎร์สาย 1 / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456028,2026-09-14
373456028,13.7972807,100.5213412,แยกเกียกกาย,เกียกกาย,ประชาราษฎร์สาย 1,ทหาร / ประชาราษฎร์สาย 1 / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456028,2026-09-14
373456028,13.7972807,100.5213412,แยกเกียกกาย,เกียกกาย,สามเสน,ทหาร / ประชาราษฎร์สาย 1 / สามเสน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/373456028,2026-09-14
446286820,13.7934578,100.5299073,แยกสะพานแดง,สะพานแดง,ทหาร,ทหาร / ประดิพัทธ์ / พระรามที่ 5 / เตชะวนิช,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446286820,2026-09-14
446286820,13.7934578,100.5299073,แยกสะพานแดง,สะพานแดง,ประดิพัทธ์,ทหาร / ประดิพัทธ์ / พระรามที่ 5 / เตชะวนิช,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446286820,2026-09-14
446286820,13.7934578,100.5299073,แยกสะพานแดง,สะพานแดง,พระรามที่ 5,ทหาร / ประดิพัทธ์ / พระรามที่ 5 / เตชะวนิช,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446286820,2026-09-14
446298019,13.78936,100.5146193,แยกบางกระบือ,บางกระบือ,สามเสน,สามเสน / อำนวยสงคราม / เขียวไข่กา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298019,2026-09-14
446298019,13.78936,100.5146193,แยกบางกระบือ,บางกระบือ,อำนวยสงคราม,สามเสน / อำนวยสงคราม / เขียวไข่กา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298019,2026-09-14
446298019,13.78936,100.5146193,แยกบางกระบือ,บางกระบือ,เขียวไข่กา,สามเสน / อำนวยสงคราม / เขียวไข่กา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298019,2026-09-14
446298085,13.783349,100.5244063,แยกเกษะโกมล,เกษะโกมล,พระรามที่ 5,พระรามที่ 5 / อำนวยสงคราม / เศรษฐศิริ,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298085,2026-09-14
446298085,13.783349,100.5244063,แยกเกษะโกมล,เกษะโกมล,อำนวยสงคราม,พระรามที่ 5 / อำนวยสงคราม / เศรษฐศิริ,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298085,2026-09-14
446298085,13.783349,100.5244063,แยกเกษะโกมล,เกษะโกมล,เศรษฐศิริ,พระรามที่ 5 / อำนวยสงคราม / เศรษฐศิริ,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/446298085,2026-09-14
496755241,13.7323064,100.5022527,แยกท่าดินแดง,ท่าดินแดง,ท่าดินแดง,ท่าดินแดง / สมเด็จเจ้าพระยา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/496755241,2026-09-14
496755241,13.7323064,100.5022527,แยกท่าดินแดง,ท่าดินแดง,สมเด็จเจ้าพระยา,ท่าดินแดง / สมเด็จเจ้าพระยา,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/496755241,2026-09-14
1677796097,13.7794575,100.5223134,แยกราชวัตร,ราชวัตร,พระรามที่ 5,พระรามที่ 5,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/1677796097,2026-09-14
1699503382,13.7582471,100.5095265,แยกจักรพรรดิพงษ์,จักรพรรดิพงษ์,จักรพรรดิพงษ์,จักรพรรดิพงษ์ / นครสวรรค์,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/1699503382,2026-09-14
1699503382,13.7582471,100.5095265,แยกจักรพรรดิพงษ์,จักรพรรดิพงษ์,นครสวรรค์,จักรพรรดิพงษ์ / นครสวรรค์,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/1699503382,2026-09-14
3495383061,13.7100585,100.5112737,แยกตรอกจันทน์,ตรอกจันทน์,จันทน์,จันทน์ / ซอยเจริญกรุง 70 / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/3495383061,2026-09-14
3495383061,13.7100585,100.5112737,แยกตรอกจันทน์,ตรอกจันทน์,เจริญกรุง,จันทน์ / ซอยเจริญกรุง 70 / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/3495383061,2026-09-14
4087023894,13.7531983,100.5316981,แยกราชเทวี,ราชเทวี,พญาไท,พญาไท / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4087023894,2026-09-14
4087023894,13.7531983,100.5316981,แยกราชเทวี,ราชเทวี,เพชรบุรี,พญาไท / เพชรบุรี,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4087023894,2026-09-14
4599130224,13.7898139,100.5482078,สะพานควาย,สะพานควาย,ประดิพัทธ์,ประดิพัทธ์ / พหลโยธิน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4599130224,2026-09-14
4599130224,13.7898139,100.5482078,สะพานควาย,สะพานควาย,พหลโยธิน,ประดิพัทธ์ / พหลโยธิน,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/4599130224,2026-09-14
7265755159,13.806486,100.5215457,แยกบางโพ,บางโพ,ประชาราษฎร์สาย 1,ประชาราษฎร์สาย 1 / ประชาราษฎร์สาย 2,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/7265755159,2026-09-14
7265755159,13.806486,100.5215457,แยกบางโพ,บางโพ,ประชาราษฎร์สาย 2,ประชาราษฎร์สาย 1 / ประชาราษฎร์สาย 2,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/7265755159,2026-09-14
13167186218,13.7471239,100.4997484,แยกเฉลิมกรุง,เฉลิมกรุง,ตรีเพชร,ตรีเพชร / ตีทอง / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186218,2026-09-14
13167186218,13.7471239,100.4997484,แยกเฉลิมกรุง,เฉลิมกรุง,เจริญกรุง,ตรีเพชร / ตีทอง / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186218,2026-09-14
13167186222,13.747057,100.5010887,แยกอุณากรรณ,อุณากรรณ,อุณากรรณ,บูรพา / อุณากรรณ / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186222,2026-09-14
13167186222,13.747057,100.5010887,แยกอุณากรรณ,อุณากรรณ,เจริญกรุง,บูรพา / อุณากรรณ / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186222,2026-09-14
13167186226,13.7469531,100.5031696,แยกสามยอด,สามยอด,มหาไชย,มหาไชย / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186226,2026-09-14
13167186226,13.7469531,100.5031696,แยกสามยอด,สามยอด,เจริญกรุง,มหาไชย / เจริญกรุง,True,exact intersection after prefix removal AND exact connected road after ถนน removal,https://www.openstreetmap.org/node/13167186226,2026-09-14
