design,rows,units,Before,During,After
same_location_time,2612,623,100.0,91.58761857214178,90.3570746610655
same_report_quarter,226,70,100.0,87.6772901506339,87.82030530932076
same_report_month,47,15,100.0,85.4908145432846,96.13703203242986
same_survey_month,47,15,100.0,85.4908145432846,96.13703203242986
