period,median_index,bootstrap_p025,bootstrap_p975,units,intersection_clusters,replicates,seed
During,91.58761857214178,88.43243243243244,94.93127350148214,623,175,3000,5001
After,90.3570746610655,86.61825726141079,93.77401272008171,623,175,3000,5001
